"name";"ine";"email";"tel"
"Alhabia";"04-010";"administracion@alhabia.es";"950643001"
"Níjar";"04-066";"tesoreria@nijar.es/alcade@nijar.es/intervencion@nijar.es";"950360012"
"Alhama de Almería";"04-011";"registro@alhamadealmeria.es";"950601020"
"Ohanes";"04-067";"secretaria@ohanes.es";"950510055"
"Alicún";"04-012";"jasolvas@terque.es";"950640303"
"Olula de Castro";"04-068";"mmtorres@oluladecastro.es";"950356040"
"Almería";"04-013";"ayto@aytoalmeria.es";"950210000"
"Olula del Río";"04-069";"registro@oluladelrio.es";"950441000"
"Almócita";"04-014";"alcaldia@almocita.es";"950510337"
"Oria";"04-070";NA;"950122736"
"Alsodux";"04-015";"cherrada@alxodux.es";"950643078"
"Padules";"04-071";"registro@aytopadules.com";"950510001"
"Antas";"04-016";"registro@antas.es";"950619015"
"Partaloa";"04-072";"tesoreriacuevas_domingo@yahoo.es";"950436288"
"Arboleas";"04-017";"secretaria@arboleas.org";"950449430"
"Paterna del Río";"04-073";"ayuntamiento@paternadelrio.es";"950513475"
"Armuña de Almanzora";"04-018";"informacion@armunadealmanzora.es";"950420461"
"Pechina";"04-074";"al074sec@dipalme.org";"950317125"
"Bacares";"04-019";"alcalde@bacares.es";"950421016"
"Pulpí";"04-075";"registro@pulpi.es";"950464001"
"Bayárcal";"04-020";"jcarrico@bayarcal.es";"950512848"
"Purchena";"04-076";NA;"950423009"
"Bayarque";"04-021";"registro@bayarque.es";"950420458"
"Rágol";"04-077";"ayuntamiento@ragol.es";"950647050"
"Bédar";"04-022";"bedar@bedar.es";"950469277"
"Rioja";"04-078";"registro@rioja.es";"950310254"
"Beires";"04-023";"jdferrec@padules.es";"950510034"
"Roquetas de Mar";"04-079";"presupuestos@aytoroquetas.org";"950338585"
"Benahadux";"04-024";"registro@benahadux.es";"950310001"
"Santa Cruz de Marchena";"04-080";NA;"950643111"
"Benitagla";"04-026";"ayuntamiento@benitagla.es";"950361839"
"Santa Fe de Mondújar";"04-081";"ayuntamiento@santafedemondujar.es";"950640329"
"Benizalón";"04-027";"ayuntamiento@benizalon.es";"950361801"
"Senés";"04-082";"ayto.senes@larural.es";"950362321"
"Bentarique";"04-028";"ayuntamiento@bentarique.es";"950643228"
"Serón";"04-083";"administracion@seron.es";"950046001"
"Berja";"04-029";"informacion@berja.es";"950490007"
"Sierro";"04-084";"al076sec@dipalme.org, slozanos@dipalme.org";"950423404"
"Canjáyar";"04-030";"mavazque@canjayar.es";"950510083"
"Somontín";"04-085";"ayuntamiento@somontin.es";"950424644"
"Cantoria";"04-031";"ayuntamiento@cantoria.es";"950436000"
"Sorbas";"04-086";"secretaria@sorbas.es";"950364109"
"Carboneras";"04-032";"registrogeneral@carboneras.es";"950454238"
"Suflí";"04-087";"registro@sufli.es";"950423424"
"Castro de Filabres";"04-033";"erodrigu@castrodefilabres.es";"950365013"
"Tabernas";"04-088";"registro@tabernas.es";"950365002"
"Cóbdar";"04-034";"cobdar.ayun@gmail.com";"950122201"
"Taberno";"04-089";"al089reg@dipalme.org";"950123040"
"Cuevas del Almanzora";"04-035";"tesoreriacuevas_domingo@yahoo.es";"950456488"
"Tahal";"04-090";"mcduarte@tahal.es";"950434854"
"Chercos";"04-036";"chercos036@gmail.com";"950122501"
"Terque";"04-091";"secretaria@terque.es";"950643300"
"Chirivel";"04-037";"ayuntamientodechirivel@gmail.com";"950413001"
"Tíjola";"04-092";"administrativo@tijola.es";"950420300"
"Dalías";"04-038";"secretaria@dalias.es";"950494411"
"Turre";"04-093";"administracion@turre.es";"950479011"
"Enix";"04-041";"secretaria@enix.es";"950559726"
"Turrillas";"04-094";"argarcia@turrillas.es";"950364415"
"Felix";"04-043";"secretaria@felix.es";"950559577"
"Uleila del Campo";"04-095";"registro@uleiladelcampo.es";"950363130"
"Fines";"04-044";"ayuntamiento@villadefines.com";"950444367"
"Urrácal";"04-096";"aytourracal@andaluciajunta.es";"950424414"
"Fiñana";"04-045";"aytofinana@gmail.com";"950352003"
"Velefique";"04-097";"registro@velefique.es";"950365372"
"Fondón";"04-046";"apinoher@fondon.es";"950513302"
"Vélez-Blanco";"04-098";"jmontoro@velezblanco.es";"950614800"
"Gádor";"04-047";"jmfernandez@gador.es";"950645211"
"Vélez-Rubio";"04-099";"tesoreria@velezrubio.es";"950614015"
"Gallardos (Los)";"04-048";"registro@losgallardos.es";"950469000"
"Vera";"04-100";"alcaldia@vera.es";"950393016"
"Garrucha";"04-049";"intervencionaytogar@gmail.com";"950460058"
"Viator";"04-101";"glorenzo@dipalme.org";"950304302"
"Gérgal";"04-050";"ayuntamiento@gergal.es";"950353000"
"Vícar";"04-102";"intervencion@vicar.es";"950553069"
"Huécija";"04-051";"ayuntamiento@huecija.es";"950640325"
"Zurgena";"04-103";"ayuntamiento@zurgena.es";"950449006"
"Huércal de Almería";"04-052";"emaldona@huercaldealmeria.es;gumendez@huercaldealmeria.es";"950300050"
"Tres Villas (Las)";"04-901";"mcastano@lastresvillas.es";"950350800"
"Huércal-Overa";"04-053";"jmmartin@huercal-overa.es";"950134900"
"Ejido (El)";"04-902";"presupuestos@elejido.org";"950541000"
"Illar";"04-054";"omguijar@illar.es";"950647153"
"Mojonera (La)";"04-903";"eviciana@lamojonera.es";"950331003"
"Instinción";"04-055";"secretaria@instincion.es";"950647002"
"Balanegra";"04-904";"registro@balanegra.es";"950406041"
"Laroya";"04-056";"ggarrido@dipalme.org";"950128425"
"Abiego";"22-001";"abiego@somontano.org";"974317202"
"Ilche";"22-128";NA;NA
"Abizanda";"22-002";"aytoabizanda@aragon.es";"974300326"
"Isábena";"22-129";"irisabena@hotmail.com";"974544403"
"Adahuesca";"22-003";"adahuesca@somontano.org";"974318151"
"Jaca";"22-130";"secretaria@aytojaca.es";"974355758"
"Agüero";"22-004";"secretaria@aytoaguero.es";"974382033"
"Jasa";"22-131";"aytojasa@yahoo.es";"974371431"
"Aisa";"22-006";"aytoaisa@aytoaisa.com";"974364679"
"Labuerda";"22-133";"labuerda@labuerda.es";"974500310"
"Albalate de Cinca";"22-007";"secretario@albalatedecinca.es";"974468858"
"Laluenga";"22-135";"laluenga@laluenga.es";"974301329"
"Albalatillo";"22-008";"aytoalbalatillo@monegros.net";"974572877"
"Lalueza";"22-136";"aytolalueza@monegros.net";"974575001"
"Albelda";"22-009";"aytoalbelda@aragon.es";"974420208"
"Lanaja";"22-137";"aytolanaja@monegros.net";"974574001"
"Albero Alto";"22-011";"aytoalberoalto@yahoo.es";"974280276"
"Laperdiguera";"22-139";"laperdiguera@somontano.org";"974301287"
"Albero Bajo";"22-012";"aytoalbajo@monegros.net";"974283044"
"Lascellas-Ponzano";"22-141";"lascellas-ponzano@lascellas-ponzano.es";"974319167"
"Alberuela de Tubo";"22-013";"aytoalberuela@monegros.net";"974395001"
"Lascuarre";"22-142";"ccmar@movistar.es";"974544286"
"Alcalá de Gurrea";"22-014";"secretario@alcaladegurrea.es";"974250426"
"Laspaúles";"22-143";"laspaules@laspaules.es";"974553141"
"Alcalá del Obispo";"22-015";"agrupacionsesa@hotmail.es";"974280003"
"Laspuña";"22-144";"lavalle@ctv.es";NA
"Alcampell";"22-016";"secretaria@alcampell.net";"974420952"
"Loarre";"22-149";"aytoloarre@yahoo.es";"974382609"
"Alcolea de Cinca";"22-017";"aytoalcoleac@aragon.es";"974468166"
"Loporzano";"22-150";"aytoloporzano@aragon.es";"974262055"
"Alcubierre";"22-018";"aytoalcubierre@aragon.es";"974574263"
"Loscorrales";"22-151";"aytoloscorrales@aragon.es";"974382420"
"Alerre";"22-019";"alerre@alerre.es";"974219833"
"Monesma y Cajigar";"22-155";"ccmar@movistar.es";"974544612"
"Alfántega";"22-020";"aytoalfantega@aragon.es";"974405238"
"Monflorite-Lascasas";"22-156";"ayuntamiento@monflorite-lascasas.es";"974280146"
"Almudévar";"22-021";"almudevar@almudevar.es";"974250002"
"Montanuy";"22-157";"ayuntamiento@montanuy.es";"974554009"
"Almunia de San Juan";"22-022";"aytoalmuniadesanjuan@aragon.es";"974403003"
"Monzón";"22-158";"ayuntamiento@monzon.es";"974400700"
"Almuniente";"22-023";"aytoalmuniente@monegros.net";"974390304"
"Naval";"22-160";"aytonaval@aragon.es";"974300326"
"Alquézar";"22-024";"alquezar@somontano.org";"974318960"
"Novales";"22-162";"aytonovales@yahoo.es";"974280001"
"Altorricón";"22-025";"secretaria@altorricon.org";"974425002"
"Nueno";"22-163";"aytonueno@aragob.es";NA
"Angüés";"22-027";"angues@angues.es";"974260001"
"Olvena";"22-164";"aytoolvena@aragon.es";"974545080"
"Ansó";"22-028";"ayuntamiento@anso.es";"974370003"
"Ontiñena";"22-165";"secretaria@ontinena.es";"974468175"
"Antillón";"22-029";"aytoantillon@aragon.es";"974260319"
"Osso de Cinca";"22-167";"aytoossodecinca@aragon.es";"974456113"
"Aragüés del Puerto";"22-032";"AYTOARAGUES@JACANET.ES";"974371447"
"Palo";"22-168";"ayuntamiento@lafueva.com";"974507002"
"Arén";"22-035";"ayuntamiento@aren.es";"974542000"
"Panticosa";"22-170";"ayto@panticosa.es";"974487043"
"Argavieso";"22-036";"agrupacionsesa@hotmail.es";"974280289"
"Peñalba";"22-172";"aytopenalba@monegros.net";"974463166"
"Arguis";"22-037";"aytoarguis@aragon.es";"974272001"
"Peñas de Riglos (Las)";"22-173";"secretaria@laspenasderiglos.es";"974382871"
"Ayerbe";"22-039";"secretario@ayerbe.es";"974380025"
"Peralta de Alcofea";"22-174";"secretaria peraltadealcofea.es";"974301162"
"Azanuy-Alins";"22-040";"aytoazanuyalins@aragon.es";"974411001"
"Peralta de Calasanz";"22-175";"aytoperaltacalasanz@aragob.es";"974411032"
"Azara";"22-041";"aytoazara@aragon.es";"974319071"
"Peraltilla";"22-176";"aytoperaltilla@aragon.es";"687280748"
"Azlor";"22-042";"aytoazlor@somontano.org";"974319213"
"Perarrúa";"22-177";"ayuntamiento@perarrua.es";"974540277"
"Baélls";"22-043";"baells@lalitera.org";"974433109"
"Pertusa";"22-178";"aytopertusa@gmail.com";"676966187"
"Bailo";"22-044";"secretaria@bailo.es";"974377074"
"Piracés";"22-181";"aytopiraces@yahoo.es";"974280129"
"Baldellou";"22-045";"baldellou@lalitera.org";"974433332"
"Plan";"22-182";"aytoplan@aragon.es";"974506001"
"Ballobar";"22-046";"aytoballobar@aragon.es";"974461001"
"Poleñino";"22-184";"aytopole@hotmail.com";"974575001"
"Banastás";"22-047";"banastas@banastas.es";"974271255"
"Pozán de Vero";"22-186";"pozandevero@somontano.org";"974302222"
"Barbastro";"22-048";"javilluendas@barbastro.org";"974310150"
"Puebla de Castro (La)";"22-187";"aytolapuebladecastro@aragob.es";"974545003"
"Barbués";"22-049";"aytoalmuniente@monegros.net";"974390304"
"Puente de Montañana";"22-188";"ayto montanana@hotmail.com";"974542149"
"Barbuñales";"22-050";"aytobarbu@somontano.org";"974319279"
"Puértolas";"22-189";"ayuntamiento@lafueva.com";"974507002"
"Bárcabo";"22-051";"secretario@barcabo.es";"974318453"
"Pueyo de Araguás (El)";"22-190";"ayuntamiento@elpueyodearaguas.com";"974341030"
"Belver de Cinca";"22-052";"aytobelver@eresmas.com";NA
"Pueyo de Santa Cruz";"22-193";"aytopueyo@aragon.es";"974405001"
"Benabarre";"22-053";"aytobenabarre@aragon.es";"974543000"
"Quicena";"22-195";"ayuntamiento@quicena.es";"974246419"
"Benasque";"22-054";"secretario@benasque.es";"974551001"
"Robres";"22-197";"aytorobres@monegros.net";"974392011"
"Berbegal";"22-055";"ayuntamiento@berbegal.org";"974301001"
"Sabiñánigo";"22-199";"intervencion@aytosabi.es";"974484200"
"Bielsa";"22-057";"secretaria@bielsa.com";"974501000"
"Sahún";"22-200";"SAHUN@SAHUN.es";"974551334"
"Bierge";"22-058";"bierge@bierge.es";"974318102"
"Salas Altas";"22-201";"aytsalasa@aragob.es";"974302058"
"Biescas";"22-059";"noemimillan@biescas.es";"974485002"
"Salas Bajas";"22-202";"aytosalasbajas@aragob.es";"974312353"
"Binaced";"22-060";"ayuntamiento@binaced.org";"974427001"
"Salillas";"22-203";"agrupacionsesa@hotmail.es";"974392634"
"Binéfar";"22-061";"interventora@binefar.es";"974428100"
"Sallent de Gállego";"22-204";"secretaria@aytosallent.es";"974488005"
"Bisaurri";"22-062";"bisaurri@bisaurri.es";"974553100"
"San Esteban de Litera";"22-205";"sanesteban@lalitera.org";"974430002"
"Biscarrués";"22-063";"aytobiscarrues@teleline.es";NA
"Sangarrén";"22-206";"aytosangarren@monegros.net";"974285000"
"Blecua y Torres";"22-064";"aytoblecuatorres@aragon.es";"974260150"
"San Juan de Plan";"22-207";"sanjuandeplan@sanjuandeplan.es";"974506294"
"Boltaña";"22-066";"secretaria@boltana.es";"974502002"
"Santa Cilia";"22-208";"aytosantacilia@hotmail.com";"974377201"
"Bonansa";"22-067";"ayuntamiento@bonansa.es";"974554009"
"Santa Cruz de la Serós";"22-209";"Aytosantacruzdelaseros@hotmail.com";"635601340"
"Borau";"22-068";"aytoborau@aragon.es";"974364538"
"Santaliestra y San Quílez";"22-212";NA;NA
"Broto";"22-069";"ayuntamiento@broto.es";"974486306"
"Sariñena";"22-213";"aytosarinena@monegros.net";"974570900"
"Caldearenas";"22-072";"ayuntamiento@caldearenas.es";"974359773"
"Secastilla";"22-214";"ayuntamiento@secastilla.com";"974540227"
"Campo";"22-074";"ayuntamiento@campo.es";"974550000"
"Seira";"22-215";"aytoseira@aragon.es";"974553131"
"Camporrélls";"22-075";"camporrells@lalitera.org";"974433001"
"Sena";"22-217";"aytosena@monegros.net";"974578005"
"Canal de Berdún";"22-076";"aytocanaldeberdun@aragon.es";"973371729"
"Senés de Alcubierre";"22-218";"aytosenes@monegros.net";"974392014"
"Candasnos";"22-077";"aytocandasnos@candasnos.e.telefonica.net";"974463001"
"Sesa";"22-220";"agrupacionsesa@hotmail.es";"974392501"
"Canfranc";"22-078";"aytocanfranc@aragon.es";"974373029"
"Sesué";"22-221";"ayuntamiento@sesue.com";"974553554"
"Capdesaso";"22-079";"aytocapdesaso@aragon.es";"974575157"
"Siétamo";"22-222";"aytosietamo@aragon.es";"974262213"
"Capella";"22-080";"capella@capella.es";"974540305"
"Sopeira";"22-223";"ayuntamiento@sopeira.es";NA
"Casbas de Huesca";"22-081";"aytocasbasdehuesca@aragon.es";"974260397"
"Tamarite de Litera";"22-225";"ayuntamiento@tamaritedelitera.es";"974420075"
"Castejón del Puente";"22-082";"ayuntamiento@castejondelpuente.com";"974404466"
"Tardienta";"22-226";"aytotardienta@aragon.es";"974253001"
"Castejón de Monegros";"22-083";"aytocastejon@monegros.net";"976172604"
"Tella-Sin";"22-227";"tella-sin@tella-sin.es";"974504090"
"Castejón de Sos";"22-084";"aytocastejondesos@aragon.es";"974553000"
"Tierz";"22-228";"ayuntamiento@tierz.es";"974246397"
"Castelflorite";"22-085";"aytocastelflorite@monegros.net";"974576191"
"Tolva";"22-229";"aytotolva@hotmail.es";"974543210"
"Castiello de Jaca";"22-086";"aytocastiellojaca@aragon.es";"974350025"
"Torla-Ordesa";"22-230";"ayuntamiento@torla.es";"974486152"
"Castigaleu";"22-087";"ccmar@movistar.es";"974544646"
"Torralba de Aragón";"22-232";"aytotorralba@monegros.net";"974253211"
"Castillazuelo";"22-088";"castillazuelo@terra.es";"974302218"
"Torre la Ribera";"22-233";"irtorrelaribera@hotmail.com";"974344219"
"Castillonroy";"22-089";"ayuntamiento@castillonroy.com";"974434064"
"Torrente de Cinca";"22-234";"aytotorrentecinca@aragob.es";"974467000"
"Colungo";"22-090";"aytocolungo@somontano.org";"974318141"
"Torres de Alcanadre";"22-235";"aytotorresdealcanadre@somontano.org";"974301445"
"Chalamera";"22-094";"aytochalamera@gmail.com";"974461513"
"Torres de Barbués";"22-236";"aytoalmuniente@monegros.net";"974390304"
"Chía";"22-095";"chia@chia.es";"974553459"
"Tramaced";"22-239";"aytotramaced@aragon.es";"974392927"
"Chimillas";"22-096";"chimillas@chimillas.es";"974224571"
"Valfarta";"22-242";"aytovalfarta@aragob.es";"976173169"
"Esplús";"22-099";"secretario@esplus.es";"974435002"
"Valle de Bardají";"22-243";"aytocampo@spicom.es";NA
"Estada";"22-102";"aytoestada@aragon.es";"974305194"
"Valle de Lierp";"22-244";"aytocampo@spicom.es";NA
"Estadilla";"22-103";"aytoestadilla@aragon.es";"974435000"
"Velilla de Cinca";"22-245";"ayto.velilla@bajocinca.es";"974461221"
"Estopiñán del Castillo";"22-105";"estopiñan@eresmas.on";"974433175"
"Beranuy";"22-246";"aytoberanuy@hotmail.com";"974347178"
"Fago";"22-106";"aytofago@aragob.es";NA
"Viacamp y Litera";"22-247";"ayto-viacamp-litera@hotmail.com";"974347250"
"Fanlo";"22-107";"ayuntamiento@torla.es";"974489005"
"Vicién";"22-248";"aytovicien@aragon.es";"974283289"
"Fiscal";"22-109";"alcalde@aytofiscal.es";"974503003"
"Villanova";"22-249";"aytovillanova@aragon.es";"974553127"
"Fonz";"22-110";"secretaria.fonz@fonz.es";"974412001"
"Villanúa";"22-250";"aytovillanua@aragon.es";"974378004"
"Foradada del Toscar";"22-111";"aytoforadada@grupo7.com";"974550220"
"Villanueva de Sigena";"22-251";"aytovillanueva@monegros.net";"974578137"
"Fraga";"22-112";"info@fraga.org";"974470050"
"Yebra de Basa";"22-252";"ayuntamiento@yebradebasa.es";"974480823"
"Fueva (La)";"22-113";"ayuntamiento@lafueva.com";"974507002"
"Yésero";"22-253";"ayuntamiento@torla.es";"974485172"
"Gistaín";"22-114";"gistain@gistain.es";"974506074"
"Zaidín";"22-254";"ayuntamiento@zaidin.org";NA
"El Grado-Lo Grau";"22-115";"elgrado@elgrado.es";"974304002"
"Valle de Hecho";"22-901";"aytohecho@aragon.es";"974375002"
"Grañén";"22-116";"granenayto@monegros.net";"974390050"
"Puente la Reina de Jaca";"22-902";NA;"635601340"
"Graus";"22-117";"aytograus@aragon.es";"974540002"
"San Miguel del Cinca";"22-903";"sanmigueldecinca@sanmigueldecinca.es";"974413001"
"Gurrea de Gállego";"22-119";"ayuntamiento@gurreadegallego.es";"976688234"
"Sotonera (La)";"22-904";"aytosotonera@aragob.es";"974272200"
"Hoz de Jaca";"22-122";"ayto@hozdejaca.es";"974487324"
"Lupiñén-Ortilla";"22-905";"aytolupinnen-ortilla@aragon.es";"974270157"
"Huerto";"22-124";"aytohuerto@monegros.net";"974395068"
"Santa María de Dulcis";"22-906";"aytodulcis@somontano.org";"974302035"
"Huesca";"22-125";"intervencion@huesca.es";"974292103"
"Aínsa-Sobrarbe";"22-907";"ayuntamiento@ainsa-sobrarbe.es";"974500002"
"Ibieca";"22-126";"aytoibieca@gmail.com";"974260290"
"Hoz y Costean";"22-908";"aytohozycostean@aragob.es";"974308006"
"Igriés";"22-127";"Aytoigries@aragob.es";NA
"Vencillón";"22-909";"vencillon@lalitera.org";"974434316"
"Alfoz de Lloredo";"39-001";"secretariamunicipal@alfozdelloredo.org";"942726051"
"Piélagos";"39-052";"informacion@pielagos.com";"942076900"
"Ampuero";"39-002";"ayto.ampuero@aytoampuero.es";"942622061"
"Polaciones";"39-053";"polaciones@gmail.com";"942729009"
"Anievas";"39-003";"aytoanievas@hotmail.com";"942840613"
"Polanco";"39-054";"info@aytopolanco.org/ayupolanco@ctv.es";"942824200"
"Arenas de Iguña";"39-004";"secretario@aytoarenasdeiguna.org";"942826019"
"Potes";"39-055";"secretaria@potes.es";"942730006"
"Argoños";"39-005";"oficinas@aytoargonos.org";"942626025"
"Puente Viesgo";"39-056";"aytopuenteviesgo@hotmail.com";"942598105"
"Arnuero";"39-006";"aytoarnuero@terra.es";"942677041"
"Ramales de la Victoria";"39-057";"oficinas@aytoramales.org";"942646004"
"Arredondo";"39-007";"AYTOARREDONDO@hotmail.com";"942678037"
"Rasines";"39-058";"oficina@aytorasines.org";"942676861"
"Astillero (El)";"39-008";"alcaldiasecretaria@astillero.es";"942077010"
"Reinosa";"39-059";"intervencion@aytoreinosa.es";"942750262"
"Bárcena de Cicero";"39-009";"contabilidad@barcenadecicero.es";"942642311"
"Reocín";"39-060";"intervencion.reocin@gmail.com";"942838301"
"Bárcena de Pie de Concha";"39-010";"Info@aytobarcenapc.com";"942841036"
"Ribamontán al Mar";"39-061";"secretaria@ribamontanalmar.es";"942505254"
"Bareyo";"39-011";"oficina@aytobareyo.org";"942621041"
"Ribamontán al Monte";"39-062";"secretaria@aytormonte.com";"942507048"
"Cabezón de la Sal";"39-012";"ayto@cabezondelasal.net";"942700051"
"Rionansa";"39-063";"secretario@aytorionansa.com";"942728001"
"Cabezón de Liébana";"39-013";"aytocabli@hotmail.com";"942735032"
"Riotuerto";"39-064";"registro@aytoriotuerto.es";"942539341"
"Cabuérniga";"39-014";"ayunt.cabuerniga@gmail.com";"942706001"
"Rozas de Valdearroyo (Las)";"39-065";"secretarialasrozas@gmail.com";"942773096"
"Camaleño";"39-015";"secretaria@ayuntamientocamaleno.com";"942733015"
"Ruente";"39-066";"secretaria@ruente.es";"942709177"
"Camargo";"39-016";"secretaria@aytocamargo.es";"942251400"
"Ruesga";"39-067";"secretaria@aytoruesga.com";"942641118"
"Campoo de Yuso";"39-017";"aytoyuso@telefonica.net";"942778310"
"Ruiloba";"39-068";"ayuntamiento@aytoruiloba.es";"942721090"
"Cartes";"39-018";"aytocartes@aytocartes.org";"942819447"
"San Felices de Buelna";"39-069";"ayuntamiento@aytosanfelicesbuelna.es";"942814111"
"Castañeda";"39-019";"aytocastaneda@hotmail.com";"942592076"
"San Miguel de Aguayo";"39-070";"intervencion@ayuntamientosanmigueldeaguayo.com";"942778799"
"Castro-Urdiales";"39-020";"intervencion@castro-urdiales.net";"942859000"
"San Pedro del Romeral";"39-071";"info@sanpedrodelromeral.es";"942595407"
"Cieza";"39-021";"ayuntamiento@aytocieza.es";"942817641"
"San Roque de Riomiera";"39-072";"fernandojrumazo@telefonica.net";"942539636"
"Cillorigo de Liébana";"39-022";"aytocillorigo@yahoo.es";"942730241"
"Santa Cruz de Bezana";"39-073";"interventor@aytobezana.com";"942580001"
"Colindres";"39-023";"administrador@colindres.es";"942674000"
"Santa María de Cayón";"39-074";"secretaria@santamariadecayon.es";"942563056"
"Comillas";"39-024";"ayuntamiento@comillas.es";"942720033"
"Santander";"39-075";"intervencion-ingresos@ayto-santander.es";"942200726"
"Corrales de Buelna (Los)";"39-025";"interventor@loscorralesdebuelna.es";"942831235"
"Santillana del Mar";"39-076";"secretario@aytosantillana.org";"942818075"
"Corvera de Toranzo";"39-026";"secretaria@corveradetoranzo.es";"942594204"
"Santiurde de Reinosa";"39-077";"santiurreinosa@outlook.es";"942778636"
"Campoo de Enmedio";"39-027";"aytocampoodeenmedio@hotmail.com";"942750601"
"Santiurde de Toranzo";"39-078";"aytosantiurde@ayto-santiurde.com";"942597542"
"Entrambasaguas";"39-028";"secretario@entrambasaguas.org/entram1@mundivia.es";"942524021"
"Santoña";"39-079";"intervencion@santona.es";"942660354"
"Escalante";"39-029";"ayubtamiento@villadeescalante.com/aytoescalante@jet.es";"942677720"
"San Vicente de la Barquera";"39-080";"intervencion@sanvicentedelabarquera.es";"942710012"
"Guriezo";"39-030";"seretaria@aytoguriezo.es";"942850013"
"Saro";"39-081";"secretariasaro@gmail.com";"942593412"
"Hazas de Cesto";"39-031";"aytohazasdecesto@gmail.com";"942635031"
"Selaya";"39-082";"secretario@ayto-selaya.es";"942590241"
"Hermandad de Campoo de Suso";"39-032";"campoosuso@hotmail.com";"942779540"
"Soba";"39-083";"secretaria@soba.es";"942639025"
"Herrerías";"39-033";"ayuntamiento@aytoherrerias.es";"942727577"
"Solórzano";"39-084";"ayuntamiento@solorzano.es";"942676300"
"Lamasón";"39-034";"ayuntamiento@aytolamason.es";"942727810"
"Suances";"39-085";"intervencion@aytosuances.com";"942811811"
"Laredo";"39-035";"AYTOLAREDO@LAREDO.ES";"942608005"
"Tojos (Los)";"39-086";"aytolostojos@hotmail.com";"942706087"
"Liendo";"39-036";"secretaria@aytoliendo.org";"942643026"
"Torrelavega";"39-087";"rbocos@aytotorrelavega.es";"942812148"
"Liérganes";"39-037";"secretario@aytolierganes.com";"942528021"
"Tresviso";"39-088";"aytotresviso@gmail.com";"696009664"
"Limpias";"39-038";"secretaria@limpias.es";"942622116"
"Tudanca";"39-089";"ayuntamiento@aytotudanca.es";"942729002"
"Luena";"39-039";"ayto.luena@hotmail.com";"942595201"
"Udías";"39-090";"ayuntamientoudias@yahoo.es";"942704404"
"Marina de Cudeyo";"39-040";"tesoreria@marinadecudeyo.com";"942506250"
"Valdáliga";"39-091";"secretaria@aytovaldaliga.org";"942709302"
"Mazcuerras";"39-041";"secret@mazcuerras.com";"942700751"
"Valdeolea";"39-092";"secretaria@ayuntamientovaldeolea.com";"942770003"
"Medio Cudeyo";"39-042";"intervencion@mediocudeyo.es";"942520023"
"Valdeprado del Río";"39-093";"secretaria@valdepradodelrio.es";"942745333"
"Meruelo";"39-043";"secretaria@meruelo.es";"942637003"
"Valderredible";"39-094";"secretaria@valderredible.es";"942776002"
"Miengo";"39-044";"alcaldia@aytomiengo.org";"942576001"
"Val de San Vicente";"39-095";"contabilidad@aytovaldesanvicente.es";"942718011"
"Miera";"39-045";"ayuntamientodemiera@gmail.com";"942539746"
"Vega de Liébana";"39-096";"liebana@ayto-vegadeliebana.com";"942736001"
"Molledo";"39-046";"secretaria@molledo.es";"942828017"
"Vega de Pas";"39-097";"ayuntamientovegadepas@gmail.com";"942595053"
"Noja";"39-047";"intervencion@ayuntamientodenoja.com";"942630038"
"Villacarriedo";"39-098";"secretario@ayuntamientodevillacarriedo.es";"942590016"
"Penagos";"39-048";"secretaria@aytopenagos.com";"942554222"
"Villaescusa";"39-099";"secretaria@villaescusa.es";"942555047"
"Peñarrubia";"39-049";"secretaria@ayto-penarrubia.org";"942730964"
"Villafufre";"39-100";"ayto@villafufre.com";"942593179"
"Pesaguero";"39-050";"anapesaguero@terra.es";"942735083"
"Valle de Villaverde";"39-101";"secretaria@vallevillaverde.com";"946809005"
"Pesquera";"39-051";"ayuntamientodepesquera@hotmail.com";"942778727"
"Voto";"39-102";"secretaria@ayuntamiento-voto.com";"942679007"
"Adanero";"05-001";"adanero@diputacionavila.net";"920307001"
"Muñopepe";"05-141";NA;NA
"Adrada (La)";"05-002";"ayuadrada@pueblos.net";"918670011"
"Muñosancho";"05-142";NA;"920245616"
"Albornos";"05-005";"albornos@diputacionavila.es";"920240251"
"Muñotello";"05-143";"ayunmuño@wanadoo.es";NA
"Aldeanueva de Santa Cruz";"05-007";"secretaria@aldeanuevadesantacruz.com";"920344001"
"Narrillos del Álamo";"05-144";NA;"920209295"
"Aldeaseca";"05-008";"ayuntamientoaldeaseca@hotmail";"920306001"
"Narrillos del Rebollar";"05-145";NA;"920239028"
"Aldehuela (La)";"05-010";"aytoaldehuela@infonegocio.com";"920344069"
"Narros del Castillo";"05-147";NA;"923563208"
"Amavida";"05-012";"ayuntamavida@telefonica.net";"920230001"
"Narros del Puerto";"05-148";"narrospuerto@diputacionavila.es";"920231533"
"Arenal (El)";"05-013";"ayuntamiento@elarenal.es";"920375001"
"Narros de Saldueña";"05-149";NA;"920241061"
"Arenas de San Pedro";"05-014";"info@aytoarenas.com";NA
"Navacepedilla de Corneja";"05-151";NA;"920367640"
"Arevalillo";"05-015";NA;"920368105"
"Nava de Arévalo";"05-152";"navaarevalo@diputacionavila.es";"920314001"
"Arévalo";"05-016";"intervencion@ayuntamientoarevalo.es";"920300001"
"Nava del Barco";"05-153";"secretaria@navadelbarco.com";NA
"Aveinte";"05-017";NA;"920240128"
"Navadijos";"05-154";"A.NAVADIJOS@TERRA.ES";"920290051"
